"participant","Congruency","Word","Colour","Correct","RT"
2,"Incongruent","RED","green",1,0.48434559999987
2,"Incongruent","RED","green",1,0.450326099999074
2,"Incongruent","GREEN","red",1,0.48029569999926
2,"Incongruent","GREEN","red",1,0.687042500001553
2,"Incongruent","GREEN","red",1,0.417004900000393
2,"Congruent","RED","red",1,0.450345499999457
2,"Incongruent","GREEN","red",1,0.420134100000723
2,"Congruent","GREEN","green",1,0.383644699999422
2,"Incongruent","GREEN","red",1,0.600522800001272
2,"Incongruent","GREEN","red",1,0.764185599999109
2,"Incongruent","GREEN","red",1,0.499707500001023
2,"Incongruent","RED","green",1,0.483778799998618
2,"Congruent","GREEN","green",1,0.76998679999997
2,"Congruent","GREEN","green",1,0.469006799999988
2,"Incongruent","RED","green",1,0.480555799998911
2,"Incongruent","RED","green",1,0.600535699999455
2,"Incongruent","RED","green",1,0.483962000000247
2,"Incongruent","RED","green",1,0.533759699999791
2,"Incongruent","GREEN","red",1,0.467042099999162
2,"Incongruent","RED","green",1,0.433666300001278
2,"Congruent","RED","red",1,0.433702500000436
2,"Incongruent","RED","green",1,0.433681700000307
2,"Incongruent","RED","green",1,0.720436300000074
2,"Incongruent","RED","green",1,0.450367499999629
2,"Incongruent","GREEN","red",1,0.433692000000519
2,"Incongruent","RED","green",1,0.363836799999262
2,"Incongruent","GREEN","red",1,0.433660900000177
2,"Incongruent","RED","green",1,0.483701199998904
2,"Incongruent","RED","green",1,0.517078200000469
2,"Congruent","GREEN","green",1,0.636741499998607
2,"Congruent","GREEN","green",1,0.600478499998644
2,"Incongruent","RED","green",1,0.717259699998976
2,"Congruent","RED","red",1,0.469258299999638
2,"Incongruent","RED","green",1,0.618036000001666
2,"Incongruent","RED","green",1,0.400312499999927
2,"Incongruent","GREEN","red",1,0.650046000000657
2,"Incongruent","GREEN","red",1,0.47024859999874
2,"Incongruent","RED","green",1,0.536552800000209
2,"Congruent","RED","red",1,0.53669760000048
2,"Incongruent","RED","green",1,0.497244800000772
2,"Incongruent","GREEN","red",1,0.583807700000762
2,"Incongruent","RED","green",1,0.400374900000315
2,"Incongruent","GREEN","red",1,0.536187799998515
2,"Incongruent","RED","green",1,0.297119200000452
2,"Incongruent","RED","green",1,0.486682400000063
2,"Incongruent","RED","green",1,0.350243000000773
2,"Incongruent","GREEN","red",1,0.416986599999291
2,"Incongruent","GREEN","red",0,0.333626699999513
2,"Incongruent","RED","green",1,0.38369000000057
2,"Incongruent","GREEN","red",1,0.400320900000224
2,"Incongruent","RED","green",1,0.317248899998958
2,"Congruent","RED","red",1,0.417000100000223
2,"Incongruent","RED","green",1,0.366960100000142
2,"Incongruent","RED","green",1,0.467064000000391
2,"Incongruent","GREEN","red",1,0.416982899998402
2,"Incongruent","GREEN","red",1,0.547243400000298
2,"Congruent","GREEN","green",1,0.402538100001038
2,"Incongruent","RED","green",1,0.45332260000032
2,"Incongruent","GREEN","red",1,0.448115699999107
2,"Incongruent","RED","green",1,0.517121799999586
2,"Congruent","RED","red",1,0.569328199999291
2,"Congruent","GREEN","green",1,0.483743800001321
2,"Incongruent","GREEN","red",1,0.497251100001449
2,"Incongruent","GREEN","red",0,0.48374689999946
2,"Incongruent","GREEN","red",1,0.452436700001272
2,"Incongruent","GREEN","red",1,0.449881500000629
2,"Incongruent","GREEN","red",1,0.620313400000668
2,"Incongruent","RED","green",1,0.450354299999162
2,"Incongruent","GREEN","red",1,0.667985800000679
2,"Incongruent","RED","green",1,0.868277699999453
